Username,Profile Age,Profile Description,Usage Period,Purchase Point,Stars,Recommend,Review,Status,tokens,stopwords,stemmed_tokens
Arvinaimsa,19 - 24,"Normal, Medium, Neutral",Less than 1 week,Shopee,1,Tidak,"""Teksturnya gel, mudah menyerap, tidak ada aromanya, dan ringan di kulit. Sayangnya, setelah pemakaian ternyata nggak cocok di kulitku yang normal to dry. Bikin kulitku jadi bruntusan dan kasar. Untuk repurchase? No. Padahal marketing-nya jor-joran banget di sosmed, banyak temenku yang make dan cocok, tapi sayangnya aku nggak cocok.""",Asli,"['""', 'Teksturnya', 'gel', ',', 'mudah', 'menyerap', ',', 'tidak', 'ada', 'aromanya', ',', 'dan', 'ringan', 'di', 'kulit', '.', 'Sayangnya', ',', 'setelah', 'pemakaian', 'ternyata', 'nggak', 'cocok', 'di', 'kulitku', 'yang', 'normal', 'to', 'dry', '.', 'Bikin', 'kulitku', 'jadi', 'bruntusan', 'dan', 'kasar', '.', 'Untuk', 'repurchase', '?', 'No', '.', 'Padahal', 'marketing', '-', 'nya', 'jor', '-', 'joran', 'banget', 'di', 'sosmed', ',', 'banyak', 'temenku', 'yang', 'make', 'dan', 'cocok', ',', 'tapi', 'sayangnya', 'aku', 'nggak', 'cocok', '.', '""']","['""', 'Teksturnya', 'gel', ',', 'mudah', 'menyerap', ',', 'aromanya', ',', 'ringan', 'kulit', '.', 'Sayangnya', ',', 'pemakaian', 'nggak', 'cocok', 'kulitku', 'normal', 'to', 'dry', '.', 'Bikin', 'kulitku', 'bruntusan', 'kasar', '.', 'repurchase', '?', 'No', '.', 'marketing', '-', 'nya', 'jor', '-', 'joran', 'banget', 'sosmed', ',', 'temenku', 'make', 'cocok', ',', 'sayangnya', 'nggak', 'cocok', '.', '""']","['', 'tekstur', 'gel', '', 'mudah', 'serap', '', 'aroma', '', 'ringan', 'kulit', '', 'sayang', '', 'pakai', 'nggak', 'cocok', 'kulit', 'normal', 'to', 'dry', '', 'bikin', 'kulit', 'bruntusan', 'kasar', '', 'repurchase', '', 'no', '', 'marketing', '-', 'nya', 'jor', '-', 'joran', 'banget', 'sosmed', '', 'temenku', 'make', 'cocok', '', 'sayang', 'nggak', 'cocok', '', '']"
divalidasi,19 - 24,"Combination, Medium, Warm",1 month - 3 months,Shopee,4,Ya,Woy kok bisa sih aku lupa review moist ini???Jujur aku beli ini karena hopeless banget abis pakai moist bio***** ga cocok dan malah break out jadi aku coba beli ini versi mini nya dulu yakann karena udah skeptis juga. Tapii ternyata ini tuh jadi moisturizer penyelamat kulit mukaku dari break out jadi akam selalu aku repurchase kalau kulit mukaku lagi enggak baik-baik aja,Asli,"['Woy', 'kok', 'bisa', 'sih', 'aku', 'lupa', 'review', 'moist', 'ini???Jujur', 'aku', 'beli', 'ini', 'karena', 'hopeless', 'banget', 'abis', 'pakai', 'moist', 'bio', '*', '*', '*', '*', '*', 'ga', 'cocok', 'dan', 'malah', 'break', 'out', 'jadi', 'aku', 'coba', 'beli', 'ini', 'versi', 'mini', 'nya', 'dulu', 'yakann', 'karena', 'udah', 'skeptis', 'juga', '.', 'Tapii', 'ternyata', 'ini', 'tuh', 'jadi', 'moisturizer', 'penyelamat', 'kulit', 'mukaku', 'dari', 'break', 'out', 'jadi', 'akam', 'selalu', 'aku', 'repurchase', 'kalau', 'kulit', 'mukaku', 'lagi', 'enggak', 'baik', '-', 'baik', 'aja']","['Woy', 'sih', 'lupa', 'review', 'moist', 'ini???Jujur', 'beli', 'hopeless', 'banget', 'abis', 'pakai', 'moist', 'bio', '*', '*', '*', '*', '*', 'ga', 'cocok', 'break', 'out', 'coba', 'beli', 'versi', 'mini', 'nya', 'yakann', 'udah', 'skeptis', '.', 'Tapii', 'tuh', 'moisturizer', 'penyelamat', 'kulit', 'mukaku', 'break', 'out', 'akam', 'repurchase', 'kulit', 'mukaku', '-', 'aja']","['woy', 'sih', 'lupa', 'review', 'moist', 'ini jujur', 'beli', 'hopeless', 'banget', 'abis', 'pakai', 'moist', 'bio', '', '', '', '', '', 'ga', 'cocok', 'break', 'out', 'coba', 'beli', 'versi', 'mini', 'nya', 'yakann', 'udah', 'skeptis', '', 'tapi', 'tuh', 'moisturizer', 'selamat', 'kulit', 'muka', 'break', 'out', 'akam', 'repurchase', 'kulit', 'muka', '-', 'aja']"
PawPawww,25 - 29,"Combination, Medium Dark, Warm",Less than 1 week,Boots,1,Tidak,"Nyomot ini pas antri bayar dikasir Jelita (Surabaya), lumayan buat cobaÂ² mumpung ada mini sizenya. Pertama coba apply ke muka, aku sukaaa banget dgn texture dan feelnya dimuka ku yg lagi kering, lembabnya dapet. Tapi gapake lama besoknya langsung muncul bbrapa jerawat. Ternyata ngga cocok di skin type ku yang sangat sensitive & acne prone.",Asli,"['Nyomot', 'ini', 'pas', 'antri', 'bayar', 'dikasir', 'Jelita', '(', 'Surabaya', ')', ',', 'lumayan', 'buat', 'cobaÂ²', 'mumpung', 'ada', 'mini', 'sizenya', '.', 'Pertama', 'coba', 'apply', 'ke', 'muka', ',', 'aku', 'sukaaa', 'banget', 'dgn', 'texture', 'dan', 'feelnya', 'dimuka', 'ku', 'yg', 'lagi', 'kering', ',', 'lembabnya', 'dapet', '.', 'Tapi', 'gapake', 'lama', 'besoknya', 'langsung', 'muncul', 'bbrapa', 'jerawat', '.', 'Ternyata', 'ngga', 'cocok', 'di', 'skin', 'type', 'ku', 'yang', 'sangat', 'sensitive', '&', 'acne', 'prone', '.']","['Nyomot', 'pas', 'antri', 'bayar', 'dikasir', 'Jelita', '(', 'Surabaya', ')', ',', 'lumayan', 'cobaÂ²', 'mumpung', 'mini', 'sizenya', '.', 'coba', 'apply', 'muka', ',', 'sukaaa', 'banget', 'dgn', 'texture', 'feelnya', 'dimuka', 'ku', 'yg', 'kering', ',', 'lembabnya', 'dapet', '.', 'gapake', 'besoknya', 'langsung', 'muncul', 'bbrapa', 'jerawat', '.', 'ngga', 'cocok', 'skin', 'type', 'ku', 'sensitive', '&', 'acne', 'prone', '.']","['nyomot', 'pas', 'antri', 'bayar', 'kasir', 'jelita', '', 'surabaya', '', '', 'lumayan', 'coba', 'mumpung', 'mini', 'sizenya', '', 'coba', 'apply', 'muka', '', 'sukaaa', 'banget', 'dgn', 'texture', 'feelnya', 'muka', 'ku', 'yg', 'kering', '', 'lembabnya', 'dapet', '', 'gapake', 'besok', 'langsung', 'muncul', 'bbrapa', 'jerawat', '', 'ngga', 'cocok', 'skin', 'type', 'ku', 'sensitive', '', 'acne', 'prone', '']"
poetisc,25 - 29,"Oily, Medium, Warm",More than 1 year,Shopee,4,Ya,"ringan dan cukup melembabkan di aku yg kulitnya normal cenderung oily tanpa bikin merasa greasy. ngebantu banget memulihkan kulit yg lagi breakout, mungkin claim nya yg bisa memperbaiki skin barrier itu memang benar. Ngeset nya juga cepet. Tp kalo kulit lg terasa kering dehidrasi ini malah jd kurang nampol",Asli,"['ringan', 'dan', 'cukup', 'melembabkan', 'di', 'aku', 'yg', 'kulitnya', 'normal', 'cenderung', 'oily', 'tanpa', 'bikin', 'merasa', 'greasy', '.', 'ngebantu', 'banget', 'memulihkan', 'kulit', 'yg', 'lagi', 'breakout', ',', 'mungkin', 'claim', 'nya', 'yg', 'bisa', 'memperbaiki', 'skin', 'barrier', 'itu', 'memang', 'benar', '.', 'Ngeset', 'nya', 'juga', 'cepet', '.', 'Tp', 'kalo', 'kulit', 'lg', 'terasa', 'kering', 'dehidrasi', 'ini', 'malah', 'jd', 'kurang', 'nampol']","['ringan', 'melembabkan', 'yg', 'kulitnya', 'normal', 'cenderung', 'oily', 'bikin', 'greasy', '.', 'ngebantu', 'banget', 'memulihkan', 'kulit', 'yg', 'breakout', ',', 'claim', 'nya', 'yg', 'memperbaiki', 'skin', 'barrier', '.', 'Ngeset', 'nya', 'cepet', '.', 'Tp', 'kalo', 'kulit', 'lg', 'kering', 'dehidrasi', 'jd', 'nampol']","['ringan', 'melembabkan', 'yg', 'kulit', 'normal', 'cenderung', 'oily', 'bikin', 'greasy', '', 'ngebantu', 'banget', 'pulih', 'kulit', 'yg', 'breakout', '', 'claim', 'nya', 'yg', 'baik', 'skin', 'barrier', '', 'ngeset', 'nya', 'cepet', '', 'tp', 'kalo', 'kulit', 'lg', 'kering', 'dehidrasi', 'jd', 'nampol']"
yulatakwim,25 - 29,"Dry, Medium, Neutral",6 months - 1 year,Boots,5,Ya,"Tekstur gel, mudah menyerap, melembabkan, memperbaiki tekstur kulit, meratakan warna kulit, mencerahkan, tidak ada aromanya. Ringan di kulit gak aneh aneh dan jadi gak gampang jerawatan lagi. Alhamdulillah ðŸŒ»",Asli,"['Tekstur', 'gel', ',', 'mudah', 'menyerap', ',', 'melembabkan', ',', 'memperbaiki', 'tekstur', 'kulit', ',', 'meratakan', 'warna', 'kulit', ',', 'mencerahkan', ',', 'tidak', 'ada', 'aromanya', '.', 'Ringan', 'di', 'kulit', 'gak', 'aneh', 'aneh', 'dan', 'jadi', 'gak', 'gampang', 'jerawatan', 'lagi', '.', 'Alhamdulillah', 'ðŸŒ', '»']","['Tekstur', 'gel', ',', 'mudah', 'menyerap', ',', 'melembabkan', ',', 'memperbaiki', 'tekstur', 'kulit', ',', 'meratakan', 'warna', 'kulit', ',', 'mencerahkan', ',', 'aromanya', '.', 'Ringan', 'kulit', 'gak', 'aneh', 'aneh', 'gak', 'gampang', 'jerawatan', '.', 'Alhamdulillah', 'ðŸŒ', '»']","['tekstur', 'gel', '', 'mudah', 'serap', '', 'melembabkan', '', 'baik', 'tekstur', 'kulit', '', 'rata', 'warna', 'kulit', '', 'cerah', '', 'aroma', '', 'ringan', 'kulit', 'gak', 'aneh', 'aneh', 'gak', 'gampang', 'jerawat', '', 'alhamdulillah', '', '']"
Mah,25 - 29,"Normal, Medium Light, Neutral",3 months - 6 months,Shopee,5,Ya,"Ini beneran ngelembapin wajahku banget sih, yang 24jam selalu di AC, kering banget. Jadi pake ini bikin wajah ku lembab, untuk skinprep juga cocok banget. Baunya juga enak banget nenangiiin, tapi sayang isi nya dikit bagi akuuuu, di pake setelah retinol dan exfo juga cocok",Asli,"['Ini', 'beneran', 'ngelembapin', 'wajahku', 'banget', 'sih', ',', 'yang', '24jam', 'selalu', 'di', 'AC', ',', 'kering', 'banget', '.', 'Jadi', 'pake', 'ini', 'bikin', 'wajah', 'ku', 'lembab', ',', 'untuk', 'skinprep', 'juga', 'cocok', 'banget', '.', 'Baunya', 'juga', 'enak', 'banget', 'nenangiiin', ',', 'tapi', 'sayang', 'isi', 'nya', 'dikit', 'bagi', 'akuuuu', ',', 'di', 'pake', 'setelah', 'retinol', 'dan', 'exfo', 'juga', 'cocok']","['beneran', 'ngelembapin', 'wajahku', 'banget', 'sih', ',', '24jam', 'AC', ',', 'kering', 'banget', '.', 'pake', 'bikin', 'wajah', 'ku', 'lembab', ',', 'skinprep', 'cocok', 'banget', '.', 'Baunya', 'enak', 'banget', 'nenangiiin', ',', 'sayang', 'isi', 'nya', 'dikit', 'akuuuu', ',', 'pake', 'retinol', 'exfo', 'cocok']","['beneran', 'ngelembapin', 'wajah', 'banget', 'sih', '', '24jam', 'ac', '', 'kering', 'banget', '', 'pake', 'bikin', 'wajah', 'ku', 'lembab', '', 'skinprep', 'cocok', 'banget', '', 'bau', 'enak', 'banget', 'nenangiiin', '', 'sayang', 'isi', 'nya', 'dikit', 'akuuuu', '', 'pake', 'retinol', 'exfo', 'cocok']"
hayneen,19 - 24,"Oily, Medium, Neutral",1 month - 3 months,Shopee,4,Ya,"Jadi waktu itu aku lagi cari mois yang buat nenangin wajah aku yang lagi break out, gak parah bgt tapi lumayan aja, waktu itu produk ini lagi rame bgt dan aku juga tergiur dengan produk ini. Alhasil aku coba dan setelah satu bulan pemakaian produk ini membawakan hasil yang baik, emang gak instan di aku tapi ada perubahan yang awalnya wajahku kemerahan dari jerawat yang timbul setelah pake produk ini jadi mengurang kemerahannya. Btw aku pake ini sape habis 3 jar",Asli,"['Jadi', 'waktu', 'itu', 'aku', 'lagi', 'cari', 'mois', 'yang', 'buat', 'nenangin', 'wajah', 'aku', 'yang', 'lagi', 'break', 'out', ',', 'gak', 'parah', 'bgt', 'tapi', 'lumayan', 'aja', ',', 'waktu', 'itu', 'produk', 'ini', 'lagi', 'rame', 'bgt', 'dan', 'aku', 'juga', 'tergiur', 'dengan', 'produk', 'ini', '.', 'Alhasil', 'aku', 'coba', 'dan', 'setelah', 'satu', 'bulan', 'pemakaian', 'produk', 'ini', 'membawakan', 'hasil', 'yang', 'baik', ',', 'emang', 'gak', 'instan', 'di', 'aku', 'tapi', 'ada', 'perubahan', 'yang', 'awalnya', 'wajahku', 'kemerahan', 'dari', 'jerawat', 'yang', 'timbul', 'setelah', 'pake', 'produk', 'ini', 'jadi', 'mengurang', 'kemerahannya', '.', 'Btw', 'aku', 'pake', 'ini', 'sape', 'habis', '3', 'jar']","['cari', 'mois', 'nenangin', 'wajah', 'break', 'out', ',', 'gak', 'parah', 'bgt', 'lumayan', 'aja', ',', 'produk', 'rame', 'bgt', 'tergiur', 'produk', '.', 'Alhasil', 'coba', 'pemakaian', 'produk', 'membawakan', 'hasil', ',', 'emang', 'gak', 'instan', 'perubahan', 'wajahku', 'kemerahan', 'jerawat', 'timbul', 'pake', 'produk', 'mengurang', 'kemerahannya', '.', 'Btw', 'pake', 'sape', 'habis', '3', 'jar']","['cari', 'mois', 'nenangin', 'wajah', 'break', 'out', '', 'gak', 'parah', 'bgt', 'lumayan', 'aja', '', 'produk', 'rame', 'bgt', 'giur', 'produk', '', 'alhasil', 'coba', 'pakai', 'produk', 'bawa', 'hasil', '', 'emang', 'gak', 'instan', 'ubah', 'wajah', 'merah', 'jerawat', 'timbul', 'pake', 'produk', 'kurang', 'merah', '', 'btw', 'pake', 'sape', 'habis', '3', 'jar']"
yupitet,19 - 24,"Dry, Light, Neutral",6 months - 1 year,Shopee,5,Ya,"Bener - bener penyelamat disaat kulit ngamukðŸ¥¹ Jujur kondisi wajah aku 2 tahun kebelakang ini tuh bener - bener lagi ngamuk banget dan jerawatan parah. Awalnya skeptis karena takut kemakanan iklan, tapi pas dibuktiin sendiri hasilnya nyata banget! Ga perlu waktu lama langsung keliatan hasilnya. Langsung mendingan banget kulit muka aku dan teksturnya membaik banget. Andalan aku kalau muka lagi kering parah dan juga kalo lagi sensitifâ¤ï¸ Highly recommendedâ£ï¸â£ï¸â£ï¸",Asli,"['Bener', '-', 'bener', 'penyelamat', 'disaat', 'kulit', 'ngamukðŸ¥¹', 'Jujur', 'kondisi', 'wajah', 'aku', '2', 'tahun', 'kebelakang', 'ini', 'tuh', 'bener', '-', 'bener', 'lagi', 'ngamuk', 'banget', 'dan', 'jerawatan', 'parah', '.', 'Awalnya', 'skeptis', 'karena', 'takut', 'kemakanan', 'iklan', ',', 'tapi', 'pas', 'dibuktiin', 'sendiri', 'hasilnya', 'nyata', 'banget', '!', 'Ga', 'perlu', 'waktu', 'lama', 'langsung', 'keliatan', 'hasilnya', '.', 'Langsung', 'mendingan', 'banget', 'kulit', 'muka', 'aku', 'dan', 'teksturnya', 'membaik', 'banget', '.', 'Andalan', 'aku', 'kalau', 'muka', 'lagi', 'kering', 'parah', 'dan', 'juga', 'kalo', 'lagi', 'sensitifâ\x9d¤ï¸\x8f', 'Highly', 'recommendedâ\x9d£ï¸\x8fâ\x9d£ï¸\x8fâ\x9d£ï¸\x8f']","['Bener', '-', 'bener', 'penyelamat', 'disaat', 'kulit', 'ngamukðŸ¥¹', 'Jujur', 'kondisi', 'wajah', '2', 'kebelakang', 'tuh', 'bener', '-', 'bener', 'ngamuk', 'banget', 'jerawatan', 'parah', '.', 'skeptis', 'takut', 'kemakanan', 'iklan', ',', 'pas', 'dibuktiin', 'hasilnya', 'nyata', 'banget', '!', 'Ga', 'langsung', 'keliatan', 'hasilnya', '.', 'Langsung', 'mendingan', 'banget', 'kulit', 'muka', 'teksturnya', 'membaik', 'banget', '.', 'Andalan', 'muka', 'kering', 'parah', 'kalo', 'sensitifâ\x9d¤ï¸\x8f', 'Highly', 'recommendedâ\x9d£ï¸\x8fâ\x9d£ï¸\x8fâ\x9d£ï¸\x8f']","['bener', '-', 'bener', 'selamat', 'saat', 'kulit', 'ngamuk', 'jujur', 'kondisi', 'wajah', '2', 'belakang', 'tuh', 'bener', '-', 'bener', 'ngamuk', 'banget', 'jerawat', 'parah', '', 'skeptis', 'takut', 'makan', 'iklan', '', 'pas', 'dibuktiin', 'hasil', 'nyata', 'banget', '', 'ga', 'langsung', 'liat', 'hasil', '', 'langsung', 'mending', 'banget', 'kulit', 'muka', 'tekstur', 'baik', 'banget', '', 'andal', 'muka', 'kering', 'parah', 'kalo', 'sensitif', 'highly', 'recommended']"
VindyyHi,19 - 24,"Dry, Medium Light, Neutral",More than 1 year,Watson,3,Ya,"Pertama kali pake dan awal awal tasya farasya rekomend ini itu beneran sebagus itu, awal awal pemakaian juga bagus banget ga bikin beruntusan gabikin kusam jadi saya lanjut pake ini sampe order ke sekian kali tapi idk why skintific tuh ga konsisten bagus nya orderan ke 3 kali nya bener bener biasa aja. Emang makin banyak produk nya ga pelit tapi kualitas moist nya jadi biasa aja dan ke saing sama produk yang kebih murah",Asli,"['Pertama', 'kali', 'pake', 'dan', 'awal', 'awal', 'tasya', 'farasya', 'rekomend', 'ini', 'itu', 'beneran', 'sebagus', 'itu', ',', 'awal', 'awal', 'pemakaian', 'juga', 'bagus', 'banget', 'ga', 'bikin', 'beruntusan', 'gabikin', 'kusam', 'jadi', 'saya', 'lanjut', 'pake', 'ini', 'sampe', 'order', 'ke', 'sekian', 'kali', 'tapi', 'idk', 'why', 'skintific', 'tuh', 'ga', 'konsisten', 'bagus', 'nya', 'orderan', 'ke', '3', 'kali', 'nya', 'bener', 'bener', 'biasa', 'aja', '.', 'Emang', 'makin', 'banyak', 'produk', 'nya', 'ga', 'pelit', 'tapi', 'kualitas', 'moist', 'nya', 'jadi', 'biasa', 'aja', 'dan', 'ke', 'saing', 'sama', 'produk', 'yang', 'kebih', 'murah']","['kali', 'pake', 'tasya', 'farasya', 'rekomend', 'beneran', 'sebagus', ',', 'pemakaian', 'bagus', 'banget', 'ga', 'bikin', 'beruntusan', 'gabikin', 'kusam', 'pake', 'sampe', 'order', 'sekian', 'kali', 'idk', 'why', 'skintific', 'tuh', 'ga', 'konsisten', 'bagus', 'nya', 'orderan', '3', 'kali', 'nya', 'bener', 'bener', 'aja', '.', 'Emang', 'produk', 'nya', 'ga', 'pelit', 'kualitas', 'moist', 'nya', 'aja', 'saing', 'produk', 'kebih', 'murah']","['kali', 'pake', 'tasya', 'farasya', 'rekomend', 'beneran', 'bagus', '', 'pakai', 'bagus', 'banget', 'ga', 'bikin', 'beruntus', 'gabikin', 'kusam', 'pake', 'sampe', 'order', 'sekian', 'kali', 'idk', 'why', 'skintific', 'tuh', 'ga', 'konsisten', 'bagus', 'nya', 'order', '3', 'kali', 'nya', 'bener', 'bener', 'aja', '', 'emang', 'produk', 'nya', 'ga', 'pelit', 'kualitas', 'moist', 'nya', 'aja', 'saing', 'produk', 'kebih', 'murah']"
aanastasyaptr_05,19 - 24,"Combination, Medium Light, Neutral",More than 1 year,Shopee,5,Ya,"cintaa bangett pokonya sama ini produk soalnya bagus banget buat aku yangg punya skin barriernya rusak karna produk yang ga cocok sebelumnyaa, pokonya aku rekomendasiin banget buat kalian yang punya skin barrier rusak kaya akuu huhuhuu",Asli,"['cintaa', 'bangett', 'pokonya', 'sama', 'ini', 'produk', 'soalnya', 'bagus', 'banget', 'buat', 'aku', 'yangg', 'punya', 'skin', 'barriernya', 'rusak', 'karna', 'produk', 'yang', 'ga', 'cocok', 'sebelumnyaa', ',', 'pokonya', 'aku', 'rekomendasiin', 'banget', 'buat', 'kalian', 'yang', 'punya', 'skin', 'barrier', 'rusak', 'kaya', 'akuu', 'huhuhuu']","['cintaa', 'bangett', 'pokonya', 'produk', 'bagus', 'banget', 'yangg', 'skin', 'barriernya', 'rusak', 'karna', 'produk', 'ga', 'cocok', 'sebelumnyaa', ',', 'pokonya', 'rekomendasiin', 'banget', 'skin', 'barrier', 'rusak', 'kaya', 'akuu', 'huhuhuu']","['cintaa', 'bangett', 'poko', 'produk', 'bagus', 'banget', 'yangg', 'skin', 'barriernya', 'rusak', 'karna', 'produk', 'ga', 'cocok', 'sebelumnyaa', '', 'poko', 'rekomendasiin', 'banget', 'skin', 'barrier', 'rusak', 'kaya', 'akuu', 'huhuhuu']"
nengelsa_9,19 - 24,"Dry, Medium Light, Neutral",3 months - 6 months,Shopee,5,Ya,Pelembabnya enak banget buat kulit jadi benar benar melembabkan banget buat jenis kulit aku yang kering dan menurutku ini lebih the best pagi kalau dipakai setelah exspoliasi karena benar benar menghidrasi dan membuat kulit super duper calming,Asli,"['Pelembabnya', 'enak', 'banget', 'buat', 'kulit', 'jadi', 'benar', 'benar', 'melembabkan', 'banget', 'buat', 'jenis', 'kulit', 'aku', 'yang', 'kering', 'dan', 'menurutku', 'ini', 'lebih', 'the', 'best', 'pagi', 'kalau', 'dipakai', 'setelah', 'exspoliasi', 'karena', 'benar', 'benar', 'menghidrasi', 'dan', 'membuat', 'kulit', 'super', 'duper', 'calming']","['Pelembabnya', 'enak', 'banget', 'kulit', 'melembabkan', 'banget', 'jenis', 'kulit', 'kering', 'menurutku', 'the', 'best', 'pagi', 'dipakai', 'exspoliasi', 'menghidrasi', 'kulit', 'super', 'duper', 'calming']","['pelembabnya', 'enak', 'banget', 'kulit', 'melembabkan', 'banget', 'jenis', 'kulit', 'kering', 'turut', 'the', 'best', 'pagi', 'pakai', 'exspoliasi', 'hidrasi', 'kulit', 'super', 'duper', 'calming']"
cookiessala,25 - 29,"Oily, Medium Light, Cool",More than 1 year,Shopee,5,Ya,"aku pakai skintific pas lagi struggle soal jerawat dan akhirnya nemuin produk ini dan kandungannya ternyata bagus banget buat jerawat dan aku pakai ini udah lebih dari setahun. jerawat aku berkurang, skin barrier aku membaik dan kalaupun muncul jerawat, pasti ga lama dan cocok juga untuk skin prep aku sebelum makeup.",Asli,"['aku', 'pakai', 'skintific', 'pas', 'lagi', 'struggle', 'soal', 'jerawat', 'dan', 'akhirnya', 'nemuin', 'produk', 'ini', 'dan', 'kandungannya', 'ternyata', 'bagus', 'banget', 'buat', 'jerawat', 'dan', 'aku', 'pakai', 'ini', 'udah', 'lebih', 'dari', 'setahun', '.', 'jerawat', 'aku', 'berkurang', ',', 'skin', 'barrier', 'aku', 'membaik', 'dan', 'kalaupun', 'muncul', 'jerawat', ',', 'pasti', 'ga', 'lama', 'dan', 'cocok', 'juga', 'untuk', 'skin', 'prep', 'aku', 'sebelum', 'makeup', '.']","['pakai', 'skintific', 'pas', 'struggle', 'jerawat', 'nemuin', 'produk', 'kandungannya', 'bagus', 'banget', 'jerawat', 'pakai', 'udah', 'setahun', '.', 'jerawat', 'berkurang', ',', 'skin', 'barrier', 'membaik', 'muncul', 'jerawat', ',', 'ga', 'cocok', 'skin', 'prep', 'makeup', '.']","['pakai', 'skintific', 'pas', 'struggle', 'jerawat', 'nemuin', 'produk', 'kandung', 'bagus', 'banget', 'jerawat', 'pakai', 'udah', 'tahun', '', 'jerawat', 'kurang', '', 'skin', 'barrier', 'baik', 'muncul', 'jerawat', '', 'ga', 'cocok', 'skin', 'prep', 'makeup', '']"
aleena25,19 - 24,"Normal, Light, Cool",1 month - 3 months,FD Try and Review,5,Ya,"skintific 5x ceramide barrier repair moisture jell bagus dan cocok dikulit aku yang kering dan bikin melembab kan kulit dan bikin kulit cerah dan bisa untuk memperbaiki skin berrier, cocok juga dipakai buat primer sebelum makeup pokoknya baguss",Palsu,"['skintific', '5x', 'ceramide', 'barrier', 'repair', 'moisture', 'jell', 'bagus', 'dan', 'cocok', 'dikulit', 'aku', 'yang', 'kering', 'dan', 'bikin', 'melembab', 'kan', 'kulit', 'dan', 'bikin', 'kulit', 'cerah', 'dan', 'bisa', 'untuk', 'memperbaiki', 'skin', 'berrier', ',', 'cocok', 'juga', 'dipakai', 'buat', 'primer', 'sebelum', 'makeup', 'pokoknya', 'baguss']","['skintific', '5x', 'ceramide', 'barrier', 'repair', 'moisture', 'jell', 'bagus', 'cocok', 'dikulit', 'kering', 'bikin', 'melembab', 'kulit', 'bikin', 'kulit', 'cerah', 'memperbaiki', 'skin', 'berrier', ',', 'cocok', 'dipakai', 'primer', 'makeup', 'pokoknya', 'baguss']","['skintific', '5x', 'ceramide', 'barrier', 'repair', 'moisture', 'jell', 'bagus', 'cocok', 'kulit', 'kering', 'bikin', 'melembab', 'kulit', 'bikin', 'kulit', 'cerah', 'baik', 'skin', 'berrier', '', 'cocok', 'pakai', 'primer', 'makeup', 'pokok', 'baguss']"
destidelfia2,19 - 24,"Combination, Medium Dark, Warm",6 months - 1 year,Shopee,5,Ya,"pake ini udah abis bertube tube, karna enak bangeetttt biasanya aku pake pagi sama malem karna ringan dan ga sumuk, bisa jadi karna teksturenya juga ringan banget gel gituuuu, tapi lembabnya tetep dapet dan lumayan tahan lama. Skr udah ada ukuran yang besarnya jadi lebih awet dan ga sayang sayang pas pakenya",Asli,"['pake', 'ini', 'udah', 'abis', 'bertube', 'tube', ',', 'karna', 'enak', 'bangeetttt', 'biasanya', 'aku', 'pake', 'pagi', 'sama', 'malem', 'karna', 'ringan', 'dan', 'ga', 'sumuk', ',', 'bisa', 'jadi', 'karna', 'teksturenya', 'juga', 'ringan', 'banget', 'gel', 'gituuuu', ',', 'tapi', 'lembabnya', 'tetep', 'dapet', 'dan', 'lumayan', 'tahan', 'lama', '.', 'Skr', 'udah', 'ada', 'ukuran', 'yang', 'besarnya', 'jadi', 'lebih', 'awet', 'dan', 'ga', 'sayang', 'sayang', 'pas', 'pakenya']","['pake', 'udah', 'abis', 'bertube', 'tube', ',', 'karna', 'enak', 'bangeetttt', 'pake', 'pagi', 'malem', 'karna', 'ringan', 'ga', 'sumuk', ',', 'karna', 'teksturenya', 'ringan', 'banget', 'gel', 'gituuuu', ',', 'lembabnya', 'tetep', 'dapet', 'lumayan', 'tahan', '.', 'Skr', 'udah', 'ukuran', 'besarnya', 'awet', 'ga', 'sayang', 'sayang', 'pas', 'pakenya']","['pake', 'udah', 'abis', 'tube', 'tube', '', 'karna', 'enak', 'bangeetttt', 'pake', 'pagi', 'malem', 'karna', 'ringan', 'ga', 'sumuk', '', 'karna', 'teksturenya', 'ringan', 'banget', 'gel', 'gituuuu', '', 'lembabnya', 'tetep', 'dapet', 'lumayan', 'tahan', '', 'skr', 'udah', 'ukur', 'besar', 'awet', 'ga', 'sayang', 'sayang', 'pas', 'pakenya']"
