Username,Profile Age,Profile Description,Usage Period,Purchase Point,Stars,Recommend,Review,Status
stqryoii,25 - 29,"Combination, Medium, Neutral",More than 1 year,Official Brand Store,5,Ya,"Ini moisture gel yang udah aku pake 1 tahun lebih. Muka aku yang awalnya hancur karena krim Abal Abal,karena pakai ini semua masalah kulit aku hilang dan skrng jauh lebih baik. Ini produk yang gakbisa aku ganti ke produk lain. Luv sekali skintific",Asli
azaleannis,30 - 34,"Combination, Medium Light, Neutral",6 months - 1 year,Shopee,5,Ya,"ini salah satu moisturizer terlama yg pernah aku pake, bahkan selama hamil sampai melahirkan juga tetap pake ini untuk jaga kesehatan kulit aku, dan alhamdulillah ampuh banget untuk bikin kulitku tetap lembab dan terjaga skin barriernya",Asli
piniwzz,18 and Under,"Dry, Medium, Neutral",3 months - 6 months,Tiktok Shop,4,Ya,"moisturizer ini ngebantu banget buat yang punya kulit kering,skinbarier yang rusak dan sensitif,tapi emang harus sabar sih, dia cuma melembabkan aja ga ada efek mencerahkannya, lumayan cepet abis juga karena tekstur nya gel",Asli
Rusfi_agustia13,25 - 29,"Combination, Medium, Neutral",3 months - 6 months,Shopee,5,Ya,"Produk yang di akui banyak orang sangat bagus untuk memperbaiki skin barrier dan benar-benar works di aku. Wajah terasa lebih lembab, benar-benar menghidrasi kulit wajah. Best banget untuk produk something yang satu ini. Andalan semua orang untuk masalah skin barrier",Palsu
ratihayufaradina,19 - 24,"Oily, Medium Light, Cool",3 months - 6 months,Instagram,5,Ya,"The real untuk masalah skin barier? This one solution yg aghhhh payah bilangðŸ’¯Bener bener ada harga ada kualitas, untuk moisturizer skintific barier ini aku ga bs lagi cakap panjang lebarrr, emg bagus top markotoppppp. Ada efek calming jg yg bikin kulit jd calmðŸ’•",Asli
wening_prastiwi,19 - 24,"Combination, Medium, Neutral",1 month - 3 months,Shopee,5,Ya,My 2024 Skincare Routine. Skintific Moisturizer. Aku pakai ini merasa wajah jadi lembab terus nggak yang lengket gitu. Bagus banget buat memperbaiki skin barier. Teksturnya kaya moist pada umumnya warna putih. Masih pakai jar yg kecil soalnya buat coba-coba dulu ehh ternyata bagus deh. Besok repurchase yg gede yaa.,Asli
sanraxsanra,19 - 24,"Combination, Medium, Neutral",1 month - 3 months,Official Brand Store,2,Tidak,"jujur waktu pertama x pake rasanya suka karena super hydrated. karena ngerasa cocok akhirnya aku beli jar kedua, but idk why pas jar kedua kok kayanya kurang cocok di aku, tapi aku tetep maksain buat pake dan ternyata malah jadi bruntusan parah. jadi stop buat pake dan akhirnya meredah. disamping dari effect yg aku dapetin, tapi emang bagus untuk ngelembapin",Asli
Endahmrn,25 - 29,"Normal, Medium Light, Warm",3 months - 6 months,Shopee,4,Ya,"Ini juga salah satu moisturizer kecintaan sejuta umat dari barand skintific, karna teksturnya gel yg super ringan dan cepat nyerap tapi efek moistuizer nya berasa banget apalagi dgn kandungan ceramidenyanya cocok banget buat ngejaga skin barrier kulit",Asli
rifheimr,19 - 24,"Combination, Light, Cool",1 week - 1 month,Gift,5,Ya,"ini oke sih dan cukup lembabin kulitku juga tapi mungkin aku punyanya yang kecil kali ya jadi kayak kurang maksimal hasilnya, tapi produknya oke, enak dipake gada iritasi, cocok buat muka yang lagi radang jerawat atau lagi kemerahan!!!!!",Asli
natashaestelle,30 - 34,"Dry, Light, Cool",1 week - 1 month,Watson,2,Tidak,"Di aku jujur ga ada efek apa-apa, cuma moisturizer biasa aja dan melembabkan pada umumnya. Tapi di aku masih kurang moisturizing dan gak terlalu tahan terlalu lama di mukaku. Aku in general juga kurang suka sama kemasannya yang jar karena gak praktis pas tangan lagi licin abis kena products lainnya dan gak higienis juga untuk colek moisturizernya pake jari.",Asli
Vinna23,18 and Under,"Oily, Medium, Cool",1 week - 1 month,Sample,4,Ya,"wkwkwk nyobain skincare moist adikku yg cwo, brand nya highend semua dibanding sisternya ðŸ˜­ðŸ˜­ btw ini bagus kok produknya, dia lotion gentle yang enteng gitu, enakeun dipake pas abis exfo atau pake tretinoin, enak banget dipake even skintype aku oily",Asli
Metanindita,30 - 34,"Combination, Medium Light, Neutral",3 months - 6 months,Shopee,4,Ya,"Beli waktu pertama kali lounching karena penasaran dan kebetulan lagi cari skincare yang oke untuk ibu hamil waktu itu. Buat kulit sensitif ini aman sih, ngelembabin tapi gak bikin breakout dan kemerahan, mungkin memang fokua di ceramide yang memang aman untuk kulit sensitif. Cuma untuk harganya memang gak begitu ramah di dompet Ibu Rumah Tangga yak ðŸ¥¹ untuk output nya ya agak cerahin dikit dan lembab di muka. Itu aja sih",Asli
Vivian1020,45 and Above,"Normal, Medium Light, Neutral",3 months - 6 months,Shopee,5,Ya,"April lalu iseng2 nyoba produk set dari Anim4te yg utk kulit aging. Waduh purging ga selesai2. Sebulan kemerahan, jerawat kecil2 susul menyusul timbul . capek deh.Trus saya ganti pk skintific yg barrier repair ini.Satu set saya pake. Pemakaian cuma bbrp x udah nenangin kulit banget . sampai sekarang masih pake seri yg ini",Asli
wilmaseptia,19 - 24,"Oily, Light, Cool",Less than 1 week,Lazada,1,Tidak,"Pertama kali banget cobain Skintific 5x Ceramide Barrier Moisture Gel karena temen-temen pake ini dan mereka cocok banget. Tapi ternyata hasilnya beda di wajah aku dan gacocok. Sebenernya teksturnya yang gel harusnya cocok di kulit wajah aku yang oily skin ya, tapi pas diaplikasiin ke wajah tuh malah berasa berat karena moisturizer ini tuh kayak berminyak banget. Dilihat dari hero ingredientsnya pun aman, karena mengandung Hyaluronic Acid, Centella Asiatica, Niacinamide, dan Ceramide. Tapi pas pemakaian pertama wajah aku memerah, berminyak banget, dan kusam. Awalnya kukira purging aja karena efek pergantian skincare baru, tapi setelah dipakai sekitar seminggu wajah aku malah banyak closed comedo dan jadi mudah berjerawat di tempat-tempat baru. Akhirnya aku stop pemakaian, sayang banget karena produknya masih banyak banget dan harganya juga lumayan pricey ya. Tapi di wajah ibu aku yang tipe dry skin moisturizer ini cocok banget sih dan keliatan banget hasilnya. Jadi mungkin moisturizer ini kayaknya gacocok buat oily skin deh.",Asli
intanWA26,30 - 34,"Combination, Medium Light, Neutral",3 months - 6 months,Shopee,5,Ya,"Aku pakai ini pas kulit wajah lagi break out parah sampe jerawatan segede jagung,pake ini bener-bener balikin skin barrier ku yang sehat.Untuk teksturenya watery dan langsung meresap pas di apply ke wajah,harganya lumayan,pas beli diatas 100k untuk ukuran 30 mili,karena saking sukanya aku pakai ini buat dijadiin sleeping mask pas mau tidur.",Asli
Adindarch,30 - 34,"Combination, Light, Neutral",1 month - 3 months,Gift,4,Ya,"Bagus melembabkan di kulit, kulit pipi jd lebih kenyal dan lembut, kalau pakai makeup juga ga bikin makeup aku jd nge crack. Harganya juga terjangkau, ini adalah jar ke 2 aku pakai yg 5x ceramide , tp pemakaian yg ke 2 ini lebih works dari pd yg pertama",Asli
ScarlettHana,30 - 34,"Combination, Light, Cool",More than 1 year,Shopee,5,Ya,"Oke bgt krn bener"" melembabkan tp ga bkin lengket. Ga kurang tp jg ga over lembabnya. Wanginya jg enak, ga terlalu kenceng atau bau kimia. Ngefek bgt utk ngelembabin kulit ku terutama di area dahi yg kering parah dan jadi sering ngelupas kl pake moisturiser yang tipe cream gitu",Asli
shafirayumh,19 - 24,"Combination, Medium Light, Neutral",More than 1 year,Shopee,5,Ya,"Suka banget pake moisturizer nya skintific. Walaupun emg harganya agak pricey tapi worth it to buy kok. Cocok untuk kulitku yang sensitif. Ada efek calming dan ngebantu bgt buat nenangin kulit kemerahan di wajah. Awalnya beli kemasan kecil, skrg udah beralih ke kemasan besar saking sukanya ðŸ’•",Asli
nindnabilah,30 - 34,"Oily, Medium Light, Neutral",3 months - 6 months,Brand Website,5,Ya,"Buat wajah berjerawat ini recommend sih, malam sebelum tidur pakai moist, paginya wajah jadi kenyal dan lembab. Pernah wajah kemerahan banget, di pakein ini langsung tenang. Sejauh ini skincare andalan sih dari skintific. Apalagi yang ga berani coba-coba.",Asli
Ayaraaaa,35 - 39,"Combination, Medium Dark, Neutral",1 week - 1 month,Shopee,3,Tidak,"1st time cobain moist ini, sengaja beli travel size krn emg mau trial. Honestly aku berharap cocok krn pgn cari moist yg gampang belinya dmnÂ² ada. Sadly pakai hampir 2 minggu, di hari ketika mulai timbul jerawat 1, , besokannya nambah di titik berbeda. Terus bagian T-zone ku malah tambah kering. Aku pribadi gak akan repurchase.",Asli
arwndmstk,25 - 29,"Oily, Medium, Neutral",1 month - 3 months,Official Brand Store,4,Ya,"Awalnya tergiur dengan ini karena bgus reviewnya, sekaligus untuk memperbaiki skin barrier, teksturnya lembut dan ringan, aku pakainya pada malam hari aja, dan di pagi hari kulit terasa kenyal, bgus sih menurutkuðŸ‘",Asli
ayurespati,25 - 29,"Normal, Light, Neutral",1 week - 1 month,Shopee,4,Ya,"Oke. Tapi ya oke aja as moisturizer, nggak ada nilai plus yang gimana2, mengingat marketingnya yg heboh banget. Pas dipakai kerasa agak dingin, tekstur ringan dan gampang menyerap. Jadi kalau untuk yang nyari moisturizer buat habis exfoliasi sih ini kurang thick.",Asli
vionaa,19 - 24,"Combination, Medium Light, Cool",More than 1 year,Shopee,4,Ya,"my go to moisturizer! udah setahun lebih gak berpaling dari moisturizer iniii, sangaaat membantu untuk kulitku yang sensitive dan kering. waktu untuk meresapnya juga gak lama, jadi kalau mau make up bikin sat set!â¤ï¸",Asli
elvinadny,19 - 24,"Combination, Light, Cool",6 months - 1 year,Shopee,5,Ya,"Kesan pertama pakai ini dingin menenangkan, mudah menyerap, melembabkan, dan ringan. Hasilnya dalam pemakaian pertama skin barrier aku beneran membaik! Pori-pori mengecil, mencerahkan kulit wajah, permukaan kulit jadi lebih halus, looknya healthy. Awal beli gara-gara keracunan sama Tasya Farasya katanya bagus.. dan beneran dong worth it to buy bgt :(",Asli
nysrinaw,19 - 24,"Combination, Light, Cool",1 month - 3 months,Shopee,5,Ya,"YA ALLAH BEST MOISTURIZER EVER. super duper mengerti knp hype bgt dan emg beneran sebagus itu. bener2 help ngebenerin n maintain skin barrier, teksturnya gel cream yg bener2 lembap, ga ada bau aneh2 bener2 basic skincare tp yg ga cm moist biasa tp DIA JG HELP CALM MY ACNESðŸ˜­ ah love bgt, nyerepnya enak bgt, lembapnya beneran awet sampe pagi, yg abis wudhu subuh tuh tetep kerasa lembap, tackinessnya jg pas bgt i suuuuper like! sayang udh banyakbgt yg palsu-in jd super kudu hsti2. pokonya JGN DISCONTINUE YAAAAA EVER EVER EVERRRRRRRRRR LUV BGT MOIST INIIII",Asli
dndansthaa,19 - 24,"Combination, Medium Light, Neutral",1 week - 1 month,Shopee,5,Ya,Petama kali pake ini pas bulan maret 2024 jujurly bagus banget kulit aku yang gradakan jadi muluss and flawless terus tergiur pake mois lain tapi tetep balik lagi ke moist skintific yang ini udah mau otw jar ke 3 karna bagus buat redain dermatitis. Refunces? Yessss tapi mau nyoba yang pink soalnya lagi kusam banget,Asli
almaudn,19 - 24,"Combination, Medium, Cool",1 week - 1 month,Shopee,5,Ya,"Produknya nampol banget! Beneran ngelembabin muka dan memperbaiki skin-barrier love it!! sengaja langsung beli yang besar karena percaya kalau ini bakalan works dan ternyata bener donggg kulit jadi halus, lembab, dan jerawatâ€+kemerahan di muka langsung hempas >< worth the price!",Asli
kalilaaaa,19 - 24,"Combination, Light, Cool",3 months - 6 months,Watson,5,Ya,one of the best moist iâ€™ve used!! would love to repurchase again ^--^ itâ€™s sooo sooo moisturizing <33 cuma sayangnyaa the packaging masih minus :< spatulanya kecil.. mungkin kalau packaging nya diganti jadi lebih bagus lagii!! love u skintifictðŸ™‚â€â†•ï¸ðŸ©·,Asli
Annie_Firmansyah,35 - 39,"Normal, Medium Light, Neutral",3 months - 6 months,Shopee,5,Ya,"Baguskrimnya,lembutcepemeresap,hasilpemakaianselamaenambulanwajahlebihcerah,lembutwajahnya,kulitsehatbercahaya,flekhitamberkurang,tidakmenyesalmemakainya,rekomendedbannggeeeetttttttttsihkrimnya,aksaraninpakedeh",Asli
hyacintha_devina,25 - 29,"Combination, Medium Light, Neutral",More than 1 year,Shopee,5,Ya,"Super sukak banget sama moisturizer satu ini karena waktu muka lagi kemerahan dia bisa buat muka jadi calm banget. Terus super hidrating dan gak lengket, cepet banget ngeresap di kulit, aromanya gak menyengat, dan aman buat semua jenis kulit!",Asli
widyadiahs,19 - 24,"Combination, Medium, Neutral",3 months - 6 months,Female Daily Studio,5,Ya,Ini produk paling best buat moist kulitkuuu demi apapun ini juga bikin cerahh dan super duper lembabb best buy 2024 karna bisa nemuin moisturizer ini broooo kalian kudu wajib coba ini produk karna bagus pollllll ini juga aman buat skin barrier rier,Asli
veronnicaan,19 - 24,"Oily, Medium Light, Cool",1 month - 3 months,Sephora,5,Ya,"suka bgt sama product ini bener bener ngerawat skin barrier ga nyesel pake product ini, muka ku terasa terawat bgt setelah menggunakan product ini. bruntusan ku yang tadinya banyak semenjak menggunakan product ini jadi lumayan berkurang",Asli
betynovita,30 - 34,"Combination, Light, Cool",6 months - 1 year,Shopee,5,Ya,"Salah satu favorite item banget dr produknya skintific.awalnya dulu ragu mau beli.tapi akhirnya kebeli juga.setelah pakai emang joss banget sih gak nyangka hasilnya oke banget.Adem enak dipakai dan selalu repurchase, gak lengket biasa pakai buat daily.",Asli
Dewi_mw,25 - 29,"Oily, Medium, Neutral",1 month - 3 months,Shopee,4,Tidak,"Aku baru trial pakai ini 3 bulan.Ga brani pakai yg full size soalnya takut ga cocok.Ternyata setelah pakai enak juga sih, teksturnya lembut gt.Tp kurang nampol di aku, blm bisa meredakan iritasi dikulit aku sih.Jadi mau coba moisturizer yg lain dlu",Asli
amaliasalmaa_,18 and Under,"Normal, Light, Neutral",3 months - 6 months,Female Daily Studio,5,Ya,"Produk ini benar-benar bikin ketagihan! Aku selalu repurchase karena kualitasnya juara banget. Pasti bakal beli terus-terusan, nggak mau sampai kehabisan stok! Biasanya aku beli di marketplace, apalagi sering banget ada diskon, makin happy deh!",Palsu
Adindainka,19 - 24,"Oily, Light, Neutral",3 months - 6 months,Shopee,5,Ya,"Aku memiliki kondisi kulit yang berminyak dan berjerawatkemerahan Nah setelah memakai skintific skin barrier ini, jerawatku mulai sembuh. Teksturnya gel jadi gampang menyerap, kemasannya juga bagus, dan ada versi mininya buat yang baru mau coba.",Palsu
arelshere14_,19 - 24,"Normal, Medium Light, Neutral",1 month - 3 months,Shopee,5,Ya,"produk ini sangat baguss, cocok bgt dimuka aku, dan klo udah diapply dimuka gampang menyerapnya dan terlihat sedikit glowing, kalian harus cobain recomended banget si, aku udah repurchase mois ini karena cocok banget dan harganya terjangkau",Palsu
Liyana26,19 - 24,"Oily, Light, Cool",1 month - 3 months,Shopee,5,Ya,"First time aku pake product skintific itu aku pake moisturizer dan lama-lama cocok dongDan dari pertama kali aku nyoba skintific, aku lanjut nyoba pake toner waktu di apply di muka rasanya ringan bgt dan langsung menyerap, selanjutnya aku coba pake SS itu suka bgt no whitecase samsekiluv it",Asli
tantrimaria,30 - 34,"Combination, Medium Light, Neutral",3 months - 6 months,Shopee,5,Ya,"Moisturizer yang cocok dipakai untuk kulit oily & acne skin type. Selama ini selalu susah susah gampang kalau cari moisturizer, sekalinya gak cocok bisa langsung bikin jerawatan, moisturizer skintific salah satu yang cocok di kulit aku.",Asli
anitaaprilia15,25 - 29,"Oily, Medium Dark, Neutral",More than 1 year,Shopee,5,Ya,"Mosturizer terfavorit untuk memperbaiki skin barrier aku yang bopeng dengan banyak jerawat. Tekstur nya lembut dan thick serta dengan aroma yang tidak menyengat, bisa didapatkan dengan range harga 130 ribuan. Kondisi kulit aku sekarang setelah pakai mosturizer ini jadi lebih oke dan sehat",Asli
alianswh_,19 - 24,"Combination, Medium, Warm",More than 1 year,Shopee,4,Ya,"Menurut pengalaman pribadi saya, moist ini memiliki teksturnya ringan dan mudah meresap. Selain itu juga dapat menghidrasi kulit dan tidak meninggalkan rasa lengket atau berminyak. Yang paling mengejutkan adalah produk ini tidak menyebabkan breakout sama sekali. Dimana ini merupakan sesuatu yang jarang sekali saya temui pada pelembap lain.Saya sangat merekomendasikan produk ini kepada siapa pun yang memiliki permasalahan yang sama. Hanya saja, harga produk ini cukup mahal menurut saya.",Asli
chaerunnisamrwh,25 - 29,"Combination, Medium, Neutral",More than 1 year,Shopee,5,Ya,"Satu moisturizer yang bkin balik dan balik lagi, diluar dia memang viral banget yaa. Tapi menurutku diatuh tetap bekerja sesuai fungsinya, melembabkan, ngekunci skincare dibawahnya, buat muka lebih glow dan halus, dan lumayan mencerahkan juga di aku",Asli
Azki_yaa,25 - 29,"Combination, Medium Light, Cool",1 month - 3 months,Guardian,5,Ya,"Skintific moisturizer warna biru wajib kalian coba gaes. Dengan tekstur ringan di kulit gak bikin bikin berminyak di kulit , cocok untuk semua jenis kulit dan bisa kamu jadikan skinprep sebelum make up . Mudah di dapatkan dengan harga terjangkau .",Asli
Faridaayn,19 - 24,"Normal, Medium Light, Neutral",1 month - 3 months,Shopee,5,Ya,"suka banget sama moisturaizer skintific ini karena bisa memperbaiki skin barrier yang rusak dan dapat melembabkan kulit wajah, cocok untuk segala jenis kulit, membuat muka plumpy pas bangun tidurr, recomended product pokoknyaaaaaaa",Asli
Christinessouhwt,30 - 34,"Combination, Medium Light, Cool",More than 1 year,Shopee,5,Ya,Pertama kali coba moisturizer dimuka aku ya dari skintific ini. Meredakan kemerahan dan jerawat dimuka aku. Bikin kulit kenyal dan setiap pakai ini muka aku jadi makin glowing. Menenangkan juga ada berasan dingin dinginnya dan itu yang buat aku makin cinta dia.hehe,Palsu
arsyzilza,19 - 24,"Normal, Light, Neutral",3 months - 6 months,Shopee,5,Ya,"Moisturizer yg teksturnya ringan bgt!!! Kulit aku oily di bagian T zone dan kering daerah sekitar mulut trs pake moist 5x ceramide di wajah jd lembut, lembab ringan bgt di kulit cocok untuk mengurangi kemerahan di wajah karena tekstur nya yang lembut di aplikasiin ke wajah",Asli
rinasusila13,25 - 29,"Combination, Medium Light, Cool",1 month - 3 months,Shopee,4,Ya,"aku beli ukuran jar besar, untuk kulitku cocok bahkan hasilnya bagus glowing, tone up skin juga diaku, tapi menurutku terlalu over price dan kaya gak asing gt sm teksurnya kaya mirip2 sama brand lain yang pernah kucoba dan harganya jauh lebih murce, dan entah kenapa aku yg salah simpan apa gmna menurutku produk ini cepet habis karena menguap gak sih? drop opini kalian dong",Asli
kanayarubi,45 and Above,"Combination, Medium, Neutral",1 month - 3 months,Shopee,4,Ya,"sekali nyobain wihhh enak. jar kedua, hmm B aja. jar ketiga, kok ga ngaruh. kayaknya emang gitu ya. emang pertama make dijidat ada beruntusan jadi kalem. dibilang cerah juga ga, cuma adem sama cepet nyerep. ternyata isinya dikit, makenya paling sebulan lebih lah, makanya boros banget",Asli
alzirains_,18 and Under,"Normal, Medium, Neutral",1 week - 1 month,Shopee,5,Ya,"Produk terbagus sih, seminggu bikin kulit mulus banget. Dari awal viral sampe sekarang ga pernah berubah, sebagus itu! Apalagi kalo pakenya serangkaian langsung, kulit kaya habis treatment mulus licin",Palsu
lorenzaayu_10,25 - 29,"Combination, Medium Light, Neutral",3 months - 6 months,Lazada,5,Ya,"Sangat sangat melembabkan, meredakan kemerahan di wajah dan sangat ringan, dan pastinya jangan sampai skintific menghilangkan prodak ini karena sangat sangat menbatu mengatasi masalah masalah pada wajah ini love you skintific muah muah",Palsu
Salsabilaqa06,19 - 24,"Combination, Medium Light, Cool",More than 1 year,Tiktok Shop,5,Ya,"Siapa sih yg gak tau moisturizer skintific ini yg sempet viral bgt, alhamdulillah pas nyobain ini emang cocok ya dan ketagihan samapi udh habis beberapa jar, dikulit aku emang ampuh sih klo wajah lagi rewel, pakai malem nya pagi udah membaik lg kulitnya",Asli
mipamaratus,25 - 29,"Dry, Medium Light, Neutral",1 month - 3 months,Shopee,5,Ya,Sejauh pemakain ku yang kurang lebih 3 bulanan ini sangat puas banget sih pake skintific ini. Kulit aku bener bener terhidrasi banget. Pake ini doang udah kayak kulit sehat banget. Memang tidak bisa dipungkiri ini produk terlalu bagussss,Asli
dinadahliana,25 - 29,"Combination, Medium Light, Neutral",3 months - 6 months,Shopee,5,Ya,"Gong sekaleee ~~Harganya memang termasuk mahal untuk kategori moisturizer, tapi produknya worth the price ðŸ‘ŒTekstur gel creamy, di apply di kulit langsung meleleh dan berasa banget bikin lembab. Awal pakai memang terasa berat dan sumuk, tapi setelah 3-7 hari pakai terasa banget enaknya. Setelah pakai pelembab ini, minyak di kulitku juga jadi lebih kekontrol. LuvðŸ«¶Karena teksturnua yang ringan, pelembab ini juga cocok banget dipakai di pagi maupun malam hari. Di pagi hari ga bikin berat, di malam hari bikin kulit terasa lembab paripurna ðŸ¥",Asli
elss_els,25 - 29,"Dry, Medium, Neutral",1 week - 1 month,Shopee,5,Ya,"Produk ini cukup ampuh menghidrasi kulit keringku. Baru pake sekitar satu bulan dan cocok. Aku pakainya pagi dan malam. teksturnya ringan,cair dan gampang meresap. Wanginya juga bukan yang tajam banget.Ini produk bakalan ku repurchase lagi deh.",Asli
puttiaisyah,25 - 29,"Combination, Medium Light, Neutral",1 month - 3 months,Shopee,5,Ya,"Moisturiser yg wajib ada di rak skincare. Kalo kulit lg rewel karena ga cocok sama produk baru, langsung ku aplikasiin ini pagi, siang, malem (of course tetep pake sunscreen di pagi&siang hari) dan 2 harian membaik. Cuma untuk ngurangin jerawat kayanya ga terlalu ngefek. Awal2 beli yg acne set, itu b aja jerawatku tidak ada perubahan apa2. Tapi pas dicombo sama serum brightening series, mantul juga. Tipe kulitku oily dan sensitif. So far sihh ini masuk ke moisturiser teraman untuk dilayer sama serum apapun di pagi/siang/malem. Saranku sih better langsung beli yg size jumbo 80g karena lebih hemat dan lebih higienis daripada yg jar.",Asli
azahrabenita,19 - 24,"Combination, Medium Light, Neutral",1 month - 3 months,Shopee,5,Ya,"agak telat nyobain ini di 2024, dan awalnya cukup skeptis ini beneran worth the hype apa cm viral doang, ehh ganyangka ternyata emang cocok di kulitkuðŸ˜­ðŸ«¶ðŸ» kulitku oily, jd agak tricky kalo cari moisturizer, biasanya selalu cocok sama punya skingame yg dailykind moisturizer, karena tipe nya watery gel dan langsung melt pas di apply, sama kyak skintific ini. aku cm pake 1x di malam hari dan paginya gak bikin muka gerah. yg bikin amaze tuh kulit lg kering2nya, banyak sel kulit mati, iseng pake ini rutin jd kerasa lembab dan lembut. repurchase? YESS",Asli
ichakarr,19 - 24,"Combination, Medium Light, Neutral",1 month - 3 months,Tiktok Shop,5,Ya,"one step solution for any problem!!! dia bisa banget membantu kulit yang lagi iritasi kemerahan, memperbaiki skin barrier, menghaluskan wajah, teksturnya ringan dan gak lengket, dan juga bisa banget melembabkan dan menghidrasi kulitâ¤ï¸â¤ï¸",Asli
adindafayza,19 - 24,"Combination, Light, Neutral",6 months - 1 year,Shopee,4,Ya,"Sejauh ini cuma moisturizer ini yang cocok dimuka kuu. Skin typeku kombinasi acne prone dan aku pake produknyajuga secukupnya aja udah cukup melembabkan. Kebetulan aku pake yang ukuran jumbonya (80 gram), sayangnya untuk harga 200k-300k lumayan pricey sih :( Tapi jujur ini bagus bgtt, bingung aja pas mau repurchasenyaðŸ˜­",Asli
Amandawijay,35 - 39,"Combination, Medium Light, Neutral",1 week - 1 month,Traditional Market,4,Ya,"Teksturnya gel dan cepat menyerap di kulit. Cukup menghidrasi kulit aku yang kadang-kadang kering banget ini. Harga terjangkau banget untuk pemakaian sehari-hari, worth to buy sih. Untuk pori-pori aku mengecil, tapi belum tau ini efek dari Skintific atau rangkaian skincare aku lainnya yah.",Asli
reresp4ge,19 - 24,"Dry, Medium Dark, Neutral",1 week - 1 month,Lazada,5,Ya,"si biru kecil ini kecil kecil cabe rawit sih wkwk, waktu aku pake pertamakali muka ku masih kering bangeetttt terus sebulan pake ini tuh kek wow bener bener nolong muka ku ðŸ¥º dari yang keringg banget jadi ngebalikin muka ku jadi lembut dan terhidrasi!!",Asli
najwaaamp,19 - 24,"Combination, Medium Dark, Warm",1 month - 3 months,Shopee,4,Ya,"okey ini moist yg meneurut gue lumayan baguss tp kalo untuk pemakaian jangka panjang gue siii no yaaâ€¦ alias woi isinya dikit bngt anjerrr sebulan dah habis itupun kalo diirit2 bngt malah jdny gue ga nyaman pakenya apalagu kulit gue combination dry yg butuh seabrek pakei moistt ðŸ¥²ðŸ¥²ðŸ¥²ðŸ¥² jujur baguss tp yaa boleh lah cari yang lain buat bisa nabunggg, tp kalo lu ga masalah sama hal ini yaa oke2 aja sii karna mang produk ini lumayan bagus menurut gueeâ€¦ , oh ya satu lg gue ga suka packagingnya karna ribettt bngt wkwkw gue lebih suka yg pump",Asli
nurulrizkiamlia,19 - 24,"Dry, Light, Cool",1 week - 1 month,Super Indo,4,Ya,"Bagus bangett nihh produk aku udah abis satu jar, mana cocok lagi ini gimana rasanya wajah jadi glowing adem dan ngelembapin, minus di packing aja kadang tutupnya ga rapet jadi mleber cuma over all bagus banget di muka aku yg dry skin :) Love ðŸ©µ",Asli
zahrazhfr,19 - 24,"Oily, Medium Light, Neutral",More than 1 year,Tiktok Shop,5,Ya,ini moisturizer terbaik sepanjang masa! bagus bgtt aku udh gatau habis brp jar cinta bgtt sm skintific biru inii ðŸ˜­ðŸ©·ðŸ©·ðŸ©·. keknya semua orang jg setuju klo moist ini bagus pol buat memperbaikin skin barrier dan ga bikin kulit kusem tp lumayan nguras kantong yaa wak hehhe. cita-cita ku beli yg 80gr wkwkwkk ðŸ©µ,Asli
aanisanisnab,25 - 29,"Combination, Medium Light, Cool",More than 1 year,Shopee,5,Ya,"Mosturizer terbaik, bisa mengatasi skin barrier tekstur nya ringan, mudah meresap bikin wajah jadi lembab. Tidak bikin kusam, mosturizer terbaik yang bisa all in one. Cocok dipakai buat umur 50+ juga lho, bisa dipakai laki laki dan perempuan juga",Palsu
hivrggrl,19 - 24,"Combination, Light, Neutral",1 week - 1 month,Shopee,5,Ya,"Tipe kulit aku sensitif combination.Moist ini bagus kemerahan di muka aku jadi reda,teskturnya enak di pake nya bkin nyaman dan point plus nya dia gak ada fragrance nya jdi aman untuk kulit sensitif...pokoknya klo muka lagi rewel tinggal pakein moist ini aja udah deh aman tuh muka.",Asli
Belladonnaly,18 and Under,"Combination, Medium, Neutral",1 month - 3 months,C&F,4,Ya,"selain melembabkan, ga ngaruh apa apa lagi, waktu awal2 pemakaian muka ku selalu kusam setelah pakai moist ini, tapi makin sering engga kusam lagi sih.aku selalu pakai ini moist ini setelah exfo, kalo ga lagi exfo aku pakai moist pink skintific",Asli
Nadyaluna4_,19 - 24,"Oily, Medium Light, Neutral",More than 1 year,Shopee,5,Ya,"Moist yang bagus, melembapkan, bagus buat base makeup. Cocok buat semua jenis kulit, membantu meredakan merah-merah dan sensitive skin. Ukuran besar bisa lebih affordable dan hemat, up to 2-3bulan. Love this moisturizerðŸ§¡ðŸ§¡ðŸ§¡ðŸ§¡ðŸ§¡ðŸ§¡ðŸ§¡ðŸ§¡ðŸ§¡ðŸ§¡ðŸ§¡ðŸ§¡",Asli
shasafaz,19 - 24,"Combination, Medium Light, Neutral",1 week - 1 month,Tiktok Shop,2,Tidak,"kemakan iklan banget, fomo, bnr bnr worst bgtt produk ini di muka aku, disclaimer yaa, kl cocok alhamdulillah, kalo ga cocok bye bye, definisi beda kulit beda ingredients beda beda beda beda.produk ini dipake kakakku yg dulunya dia breakout malah cocok bangett sekarang, kakakku udah hampir 2 tahun lbh make produk ini, wajahnya sekarang mulus bangett. beda lagi juga di kulitku, aku bnr bnr bnr ga cocok, dan itu yg buat aku breakout parah, so no for this product",Asli
